,TranslatedIngredients
32,"cup Cabbage (Patta Gobi/ Muttaikose),cup Spinach,cup Fresh Pomegranate Fruit Kernels,Lemon juice,tablespoons Extra Virgin Olive Oil,Salt and Pepper"
33,"cup All Purpose Flour (Maida),tablespoons Ghee,/ teaspoon Salt,Sunflower Oil,tablespoons Ghee,teaspoon Cumin seeds (Jeera),teaspoon Green Chilli Sauce,/ teaspoon Cinnamon Powder (Dalchini),/ teaspoon Garam masala powder,/ teaspoon Red Chilli powder,teaspoon Amchur (Dry Mango Powder),cups Green peas (Matar),Salt,teaspoon All Purpose Flour (Maida),/ cup Water"
34,"cup All Purpose Flour (Maida),/ cup Sugar,cup Dark chocolate,/ cup Cocoa Powder,/ cup Salted butter,/ cup Milk,/ tablespoon Baking powder,/ teaspoon Baking soda,/ tablespoon Vanilla Extract,cup Britannia Cream Cheese,/ cup Caster Sugar,teaspoon Vanilla Extract,Fresh raspberries"
35,"cup Ada,liter Milk,/ cup Sugar,tablespoon Ghee,/ teaspoon Cardamom Powder (Elaichi)"
36,"cup Tindora (Dondakaya/ Kovakkai),teaspoon Red Chilli powder,/ teaspoon Split Methi Seeds (Methi Kuria),/ teaspoon Split Mustard Seeds (Rai Kuria),/ teaspoon Turmeric powder (Haldi),/ teaspoon Asafoetida (hing),tablespoon Sunflower Oil,Lemon,Salt"
37,"Chicken legs,/ cup Hung Curd (Greek Yogurt),/ teaspoon Turmeric powder (Haldi),Salt,teaspoon Sunflower Oil,Onion,cloves Garlic,/ inch Ginger,tablespoon Fresh coconut,teaspoon Cumin seeds (Jeera),teaspoons Coriander (Dhania) Seeds,/ teaspoon Methi Seeds (Fenugreek Seeds),/ teaspoon Kalonji (Onion Nigella Seeds),teaspoon Whole Black Peppercorns,Dry Red Chillies,teaspoon Fennel seeds (Saunf),/ inch Cinnamon Stick (Dalchini),Cloves (Laung),Cardamom (Elaichi) Pods/Seeds,/ teaspoon Mustard seeds,tablespoon Ghee,teaspoon Tamarind Paste,teaspoon Jaggery,teaspoon Ghee,/ teaspoon Mustard seeds,sprig Curry leaves,cloves Garlic"
38,"cup Jackfruit Seeds (Kathal),cup Tamarind Water,cloves Garlic,/ teaspoon Mustard seeds,/ teaspoon Cumin seeds (Jeera),Curry leaves,/ teaspoon Turmeric powder (Haldi),/ teaspoon Red Chilli powder,teaspoons Sambar Powder,/ teaspoon Asafoetida (hing),Coriander (Dhania) Leaves,Salt,teaspoons Sunflower Oil,/ cup Fresh coconut,Whole Black Peppercorns,Dry Red Chillies,Onion,Tomato,teaspoon Coriander (Dhania) Seeds,teaspoon Sunflower Oil"
39,"eggplant,inch ginger,onion,tomato,green chillies,teaspoon turmeric powder,teaspoon garam masala powder,teaspoon coriander powder,tablespoon butter,teaspoon red chili powder,salt,tablespoon oil,sprigs of coriander"
40,"cups Water,teaspoon Tea leaves,/ cup Milk,Saffron strands"
41,"raw mango,cup tamarind water,tablespoon jaggery,tablespoon sambar powder,teaspoon turmeric powder,/ teaspoon salt,teaspoon mustard,asafoetida,Sprig Curry leaves,dry red chillies,oil"
42,"Jackfruit Seeds (Kathal),cup Kala Chana (Brown Chickpeas),teaspoon Mustard seeds,/ teaspoon Cumin seeds (Jeera),sprig Curry leaves,Tomato,/ cup Tamarind Water,teaspoon Turmeric powder (Haldi),Dry Red Chillies,teaspoon Cumin seeds (Jeera),teaspoon Coriander (Dhania) Seeds,Cloves (Laung),inch Cinnamon Stick (Dalchini),/ cup Fresh coconut,inch Ginger,cloves Garlic"
43,"cup Whole Wheat Flour,pinch Salt,teaspoon Italian seasoning,/ cup Cheese spread,Broccoli,Onion,Red Bell pepper (Capsicum),Salt,sprig Parsley leaves"
44,"cups Makki Ka Atta (Yellow Corn Meal Flour),/ cups Methi Leaves (Fenugreek Leaves),Green Chillies,tablespoon Ajwain (Carom seeds),tablespoon Kashmiri Red Chilli Powder,Salt"
45,"Carrots (Gajjar),cups Cabbage (Patta Gobi/ Muttaikose),Green Bell Pepper (Capsicum),/ teaspoon Turmeric powder (Haldi),teaspoon Sugar,teaspoon Lemon juice,Salt,teaspoon Sunflower Oil,teaspoon Mustard seeds,/ teaspoon Asafoetida (hing),sprig Curry leaves,Green Chillies"
46,"cups All Purpose Flour (Maida),cups Whole Wheat Flour,teaspoons Active dry yeast,/ teaspoons Salt,teaspoons Sugar,cups Lukewarm Water,tablespoons Extra Virgin Olive Oil"
47,"kg Tomatoes,Dry Red Chillies,teaspoon Tamarind Paste,teaspoons Red Chilli powder,/ teaspoon Turmeric powder (Haldi),tablespoon Mustard seeds,teaspoon Methi Seeds (Fenugreek Seeds),cloves Garlic,Sunflower Oil,Salt"
48,"/  cup brown rice,onions,long garlic,tsp oregano,tsp rosemary,tsp red chilli flakes,salt,oil,water"
49,"cups Mango (Ripe),/ cup Water,Sugar"
50,"cup Whole Wheat Flour,Salt,Water,Ghee"
51,"cups Ridge Gourd Skin (Turai/ Peerkangai),teaspoons White Urad Dal (Split),Methi Seeds (Fenugreek Seeds),Dry Red Chillies,Curry leaves,grams Tamarind,/ teaspoon Mustard seeds,Dry Red Chillies,Curry leaves,teaspoon Sunflower Oil,Salt"
52,"cup Broken Wheat (Dalia/ Godumai Rava),Salt,/ teaspoon Sunflower Oil,/ cup Gram flour (besan),Onion,/ cup Coriander (Dhania) Leaves,Green Chilli,Salt,/ teaspoon Turmeric powder (Haldi),/ teaspoon Cumin seeds (Jeera),/ teaspoon Ajwain (Carom seeds),tablespoon Sunflower Oil,Water,teaspoon Enos fruit salt,Sunflower Oil"
53,"cups Whole Wheat Flour,Salt,Ghee,tablespoon Ghee,grams Paneer (Homemade Cottage Cheese),/ cup Hung Curd (Greek Yogurt),tablespoon Gram flour (besan),inch Ginger,cloves Garlic,tablespoon Kasuri Methi (Dried Fenugreek Leaves),/ teaspoon Turmeric powder (Haldi),teaspoon Chaat Masala Powder,teaspoon Garam masala powder,/ cup Mint Leaves (Pudina),Salt,Coal,/ cup Mint Leaves (Pudina),Green Bell Pepper (Capsicum),Onion,/ Lemon,Salt"
54,"tablespoon Extra Virgin Olive Oil,tablespoon Butter (unsalted),Onion,cups Jasmine Rice,teaspoon Salt,cup Sweet corn,/ cup Parsley leaves,cup Parmesan cheese,cup Mozzarella cheese,cup All Purpose Flour (Maida),Whole Eggs,cup Whole Wheat Bread crumbs,Sunflower Oil"
55,"grams Fish fillet,grams Prawns,Clamps,Baby Potatoes,Carrots (Gajjar),Onion,Tomato,Fresh Red chillies,cloves Garlic,teaspoon Cumin powder (Jeera),teaspoon Paprika powder,Salt,tablespoon Lemon juice,teaspoon Black pepper powder,tablespoon Coriander (Dhania) Leaves,tablespoon Extra Virgin Olive Oil,cup Chicken stock,/ cup Coconut milk"
56,"grams Hakka Noodles,Water,/ teaspoon Salt,tablespoon Sunflower Oil,Sunflower Oil,Onion,Green Bell Pepper (Capsicum),cloves Garlic,teaspoon Soy sauce,tablespoon Red Chilli sauce,/ teaspoon White vinegar,tablespoon Tomato Ketchup,Dry Red Chillies,Salt,/ teaspoon Black pepper powder"
57,"grams Paneer (Homemade Cottage Cheese),Potato (Aloo),Bay leaf (tej patta),Dry Red Chilli,tablespoon Panch Phoran Masala,Tomato,teaspoon Turmeric powder (Haldi),teaspoon Red Chilli powder,teaspoon Cumin seeds (Jeera),teaspoon Ginger,Salt,/ teaspoon Sugar,Sunflower Oil"
58,"cups Broccoli,/ cup Mozzarella cheese,tablespoon Nutralite Cheesy Garlic Mayo,tablespoons Corn flour,/ cup Whole Wheat Bread crumbs,Salt,Nutralite Garlic & Oregano Spread"
59,"Mooli/ Mullangi (Radish),Potato (Aloo),Onion,Green Chilli,tablespoons Kasundi mustard sauce,teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),/ teaspoon Mustard seeds,/ teaspoon Cumin seeds (Jeera),/ teaspoon Kalonji (Onion Nigella Seeds),tablespoon Mustard oil,/ teaspoon Sugar,Salt"
60,"chakundar,cup arhar dal,/  cup tamarind water,tablespoon sambar powder,teaspoon mustard,asafoetida,curry leaves,dry red chili,teaspoon sesame oil,sprig coriander,salt"
61,"cup Whole Wheat Flour,cup Spinach,cup Kaddu (Parangikai/ Pumpkin),teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),/ teaspoon Coriander Powder (Dhania),/ teaspoon Cumin seeds (Jeera),/ teaspoon Salt,Water,Sunflower Oil"
62,"Whole Egg,Onion,tablespoon Jaggery,Salt,Sunflower Oil,sprig Coriander (Dhania) Leaves,/ cup Fresh coconut,tablespoon Coriander (Dhania) Seeds,Dry Red Chilli,tablespoon Sesame seeds (Til seeds),tablespoon Poppy seeds,inch Ginger,cloves Garlic,Badam (Almond)"
63,"cup Gram flour (besan),/ cup Coconut milk,/ cup Water,inch Ginger,cloves Garlic,/ teaspoon Ajwain (Carom seeds),/ teaspoon Asafoetida (hing),/ teaspoon Turmeric powder (Haldi),/ teaspoon Baking soda,Green Chillies,Onion,Tomato,Coriander (Dhania) Leaves,Salt,Sunflower Oil"
64,"cup Rice flour,cup Water,teaspoon Sunflower Oil,/ teaspoon Salt,cups White Urad Dal (Whole),Green Chillies,inch Ginger,/ teaspoon Asafoetida (hing),Salt,teaspoon Sesame (Gingelly) Oil,teaspoon Mustard seeds,sprig Curry leaves"
65,"grams Boneless chicken,Spring Onion Greens,Green Chillies,teaspoon Garlic,tablespoons Soy sauce,tablespoon Lemon juice,teaspoon Black pepper powder,/ teaspoon Red Chilli powder,/ teaspoon Cumin powder (Jeera),tablespoon Red Chilli sauce,tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),Salt,tablespoon Red Chilli sauce,teaspoons Sunflower Oil,cups Rice,tablespoons Garlic,tablespoons Ginger,Green Chillies,Green Bell Pepper (Capsicum),Spring Onion (Bulb & Greens),Onions,Carrots (Gajjar),Salt,teaspoon Chinese  Spice Powder,teaspoon White pepper powder,teaspoons Sunflower Oil,grams Egg noodles,/ cup Classic Mayonnaise (With Egg),tablespoons Tomato Ketchup,tablespoons Red Chilli sauce,tablespoon Vinegar"
66,"cup rice,tablespoons ghee,teaspoon cumin seeds,bay leaf,lentil sugar,long,green chillies,tablespoon ginger garlic paste,onions,tomatoes,/ capsicum (green),/ teaspoon red chilli powder,/ teaspoon turmeric powder,teaspoon coriander powder,/ teaspoon garam masala powder,cup tofu,salt,coriander"
67,"grams Paneer (Homemade Cottage Cheese),Potatoes (Aloo),Onion,inch Ginger,cloves Garlic,Green Bell Pepper (Capsicum),Tomatoes,Pav bhaji masala,Salt,tablespoons Coriander (Dhania) Leaves,French bread,Rocket leaves"
68,"cups Tomatoes,/ Onion,/ cup Red Wine Vinaigrette,/ Dried oregano,cloves Garlic,/ Black pepper powder,/ Dijon Mustard,tablespoon Cane sugar,to  tablespoons Extra Virgin Olive Oil,Salt"
69,"Onions,cloves Garlic,/ cup Fresh coconut,/ cup Coriander (Dhania) Leaves,teaspoon Cumin seeds (Jeera),tablespoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),tablespoon Garam masala powder,Salt,/ cup Gram flour (besan),teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),teaspoon Salt"
70,"Mooli/ Mullangi (Radish),cups Water,/ teaspoon Garam masala powder,/ teaspoon Salt,/ teaspoon Black pepper powder,Mooli/ Mullangi (Radish),Coriander (Dhania) Leaves"
71,"cups Vivatta Maida,/ cup Mango Pulp (Puree),teaspoons Baking powder,/ teaspoon Baking soda,/ cup Sunflower Oil,/ cup Sugar,/ teaspoon Salt,teaspoon Vanilla Extract,grams Dark chocolate,/ cup Fresh cream,tablespoons Cocoa Powder,Sugar"
72,"cup All Purpose Flour (Maida),tablespoons Sunflower Oil,/ teaspoons Ajwain (Carom seeds),Salt,Sunflower Oil,cup Green peas (Matar),cup Paneer (Homemade Cottage Cheese),teaspoon Coriander Powder (Dhania),teaspoon Red Chilli powder,teaspoon Amchur (Dry Mango Powder),/ teaspoon Turmeric powder (Haldi),teaspoons Sunflower Oil,Salt and Pepper,cup Onion,cup Homemade tomato puree,teaspoon Ginger Garlic Paste,Whole cashews,/ cup Curd (Dahi / Yogurt),Cloves (Laung),Mace (Javitri),Cardamom (Elaichi) Pods/Seeds,inch Cinnamon Stick (Dalchini),/ teaspoon Cumin seeds (Jeera),/ teaspoon Garam masala powder,teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),teaspoon Coriander Powder (Dhania),/ teaspoon Kasuri Methi (Dried Fenugreek Leaves),/ teaspoon Sugar,Salt,Coriander (Dhania) Leaves,Fresh cream,tablespoons Sunflower Oil"
73,"Green zucchini,Salt,Extra Virgin Olive Oil,/ cup Mozzarella cheese,Green zucchini,Red Bell pepper (Capsicum),Onion,cloves Garlic,teaspoon Dried Thyme Leaves,teaspoon Rosemary,teaspoon Red Chilli flakes,Salt,grams Tomatoes,Onion,cloves Garlic,teaspoons Black pepper corns,teaspoon Red Chilli flakes,teaspoon Sugar,/ cup Basil leaves,Salt"
74,"cup Fresh coconut,cups Cooked rice,teaspoon Mustard seeds,teaspoons White Urad Dal (Split),teaspoons Chana dal (Bengal Gram Dal),Raw Peanuts (Moongphali),sprig Curry leaves,or  Green Chillies,teaspoon Ginger,+  tablespoon Coconut Oil,Salt"
75,"Hog Plum (Amtekai),/ cup Fresh coconut,/ teaspoon Turmeric powder (Haldi),tablespoon Coriander (Dhania) Seeds,teaspoon Black Urad Dal (Split),teaspoon Rice,/ teaspoon Methi Seeds (Fenugreek Seeds),Whole Black Peppercorns,Dry Red Chilli,tablespoons Jaggery,pinch Asafoetida (hing),Karela (Bitter Gourd/ Pavakkai),Salt,teaspoons Sunflower Oil,teaspoons Sunflower Oil,/ teaspoon Mustard seeds,pinch Asafoetida (hing)"
76,"cups Cauliflower (gobi),Garlic,teaspoon Cumin seeds (Jeera),teaspoon Coriander Powder (Dhania),teaspoon Black pepper powder,tablespoon Extra Virgin Olive Oil,/ cup Anardana Powder (Pomegranate Seed Powder),tablespoons Pomegranate molasses,Fresh Herbs,Salt"
77,"ml Lukewarm Water,grams Active dry yeast,tablespoons Sugar,grams Milk Powder,grams Vivatta Maida,tablespoon Salt,tablespoons Butter (unsalted),Egg white"
78,"cups Basmati rice,Yellow Bell Pepper (Capsicum),Red Bell pepper (Capsicum),Green Bell Pepper (Capsicum),Green Chillies,inch Ginger,teaspoon Butter,teaspoon Sesame seeds (Til seeds),Salt"
79,"/ cup Poha (Flattened rice),tablespoons Rice flour,/ liter Milk,cup Nolen Gur,Cardamom (Elaichi) Pods/Seeds,Mixed nuts,tablespoon Raisins,pinch Saffron strands,pinch Salt"
80,"cups Fresh cream,cup Water"
81,"cup Rice flour,Salt,Sunflower Oil,Bok Choy,Carrot (Gajjar),/ cup Cabbage (Patta Gobi/ Muttaikose),/ cup Button mushrooms,tablespoons Corn flour,tablespoon Dark soy sauce,tablespoon Bean Paste,teaspoon Red Chilli sauce,teaspoon Sugar,Sunflower Oil,Salt"
82,"cups Curd (Dahi / Yogurt),/ cup Fresh coconut,cup Vellai Poosanikai (Ash gourd/White Pumpkin),Green Chillies,/ teaspoon Black pepper powder,/ cup Water,/ teaspoon Turmeric powder (Haldi),Salt,teaspoon Coconut Oil,/ teaspoon Mustard seeds,/ teaspoon Methi Seeds (Fenugreek Seeds),sprig Curry leaves,Dry Red Chilli"
83,"/ cup green peas,cup cheese,cut  inch ginger -  green chili,tsp turmeric powder,tsp red chili powder,tsp mango powder Powder,tsp coriander powder,salt,cup wheat flour,salt,oil,water"
84,"grams Elephant yam,/ green chilli,inch ginger,tablespoons coriander,salt,cup curd,teaspoon oil,asafetida,/  teaspoon Rye,/  teaspoon Kali Urad Dal (Split)"
85,"grams rice noodles,/ cup baby corn,/ cup capsicum (red),/ cup capsicum (yellow),/ cup capsicum (green),/ cup Thai Basil leaves,/ cup green onions,cloves garlic,inch ginger,/ tbsp brown sugar,/ Tbsp honey,tbsp soy sauce,tbsp fish sauce,tbsp Sriracha sauce"
86,"grams Shrimps,cups Basmati rice,Shallots,tablespoon Ginger,tablespoon Garlic,tablespoons Fresh coconut,teaspoon Green Chilli,/ cup Hung Curd (Greek Yogurt),sprig Curry leaves,cup Sunflower Oil,tablespoons Ghee,teaspoon Coriander Powder (Dhania),teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),teaspoon Garam masala powder,Whole Black Peppercorns,Cardamom (Elaichi) Pods/Seeds,Black cardamom (Badi Elaichi),inch Cinnamon Stick (Dalchini),Bay leaves (tej patta),Dry Red Chilli,/ teaspoon Cumin seeds (Jeera)"
87,"cup Walnuts,cup Dried Figs,/ cup Flax seeds,/ cup Honey,/ cup Roasted Peanuts (Moongphali),teaspoon Cinnamon Powder (Dalchini)"
88,"gram Chicken,teaspoon Ginger,teaspoon Garlic,tablespoon Fresh cream,tablespoon Badam (Almond),/ teaspoon Lemon juice,/ teaspoon Black pepper powder,Salt,Onion,/ cup Fresh cream,cup Milk,Cardamom Powder (Elaichi),inch Cinnamon Stick (Dalchini),Bay leaf (tej patta),teaspoon Kasuri Methi (Dried Fenugreek Leaves),teaspoon Ghee"
89,"/ cup Sooji (Semolina/ Rava),/ teaspoon Ghee,cups Milk,/ cup Sugar,Saffron strands,Cardamom (Elaichi) Pods/Seeds,teaspoon Ghee,Cashew nuts,Raisins,Mixed dry fruits"
90,"Chicken breasts,Red Bell pepper (Capsicum),Onion,Lemon juice,teaspoon Dried Thyme Leaves,teaspoon Red Chilli flakes,teaspoon Black pepper powder,tablespoon Extra Virgin Olive Oil,Salt"
91,"cup rice,cups water,tsp ghee,cardamom,long,star anise,/ inch cinnamon,whole black pepper,salt,bay leaf,/ cup onion,sprig of green coriander,sprig of mint,grams of cottage cheese,tomatoes,tablespoons cream,onion,inch ginger,cloves garlic,green chili,tsp cardamom powder,/ tsp cumin powder,/ tsp garam masala powder,/ tsp red chilli powder,tsp kasoori methi,tsp honey,salt,as per taste,tbsp cashews"
92,"grams Goond (Edible Gum),grams Ghee,grams Whole Wheat Flour,grams Sugar,grams Dry coconut (kopra),grams Badam (Almond),grams Cashew nuts"
93,"cup Sooji (Semolina/ Rava),tablespoons All Purpose Flour (Maida),cup Milk,cup Sugar,/ cup Ghee"
94,"/  cups coconut milk,cup water,/ cup roasted chana lentils,green chillies,teaspoon oil,/ teaspoon mustard,/ small Spoon turmeric powder,/ teaspoon cumin seeds,curry leaves,salt,coriander leaves"
