,TranslatedIngredients
29,"reen beans (french beans),clovesarlic,soy sauce,thai sweet chilli sauce,lemon,rice wine vinegar,roasted peanuts (moongphali),salt,sesame (gingelly) oil"
30,"sunflower oil,all purpose flour (maida),bakinpowder,water,sunflower oil,honey,sugar,sesame seeds (til seeds),water,vanilla extract"
31,"sundkai,fenugreek,arhar dal,tomato,tamarind,turmeric powder,sambar powder,coriander powder,mustard,cumin seeds,dry red chili,asafoetida,oil,salt,curry leaves,green coriander,water"
32,"cabbage (pattaobi/ muttaikose),spinach,fresh pomegranate fruit kernels,lemon juice,extra virgin olive oil,salt and pepper"
33,"all purpose flour (maida),hee,salt,sunflower oil,hee,cumin seeds (jeera),reen chilli sauce,cinnamon powder (dalchini),aram masala powder,red chilli powder,amchur (dry mango powder),sreen peas (matar),salt,all purpose flour (maida),water"
34,"all purpose flour (maida),sugar,dark chocolate,cocoa powder,salted butter,milk,bakinpowder,bakinsoda,vanilla extract,britannia cream cheese,caster sugar,vanilla extract,fresh raspberries"
35,"ada,milk,sugar,hee,cardamom powder (elaichi)"
36,"tindora (dondakaya/ kovakkai),red chilli powder,split methi seeds (methi kuria),split mustard seeds (rai kuria),turmeric powder (haldi),asafoetida (hing),sunflower oil,lemon,salt"
37,"chicken legs,huncurd (greek yogurt),turmeric powder (haldi),salt,sunflower oil,onion,clovesarlic,inchinger,fresh coconut,cumin seeds (jeera),coriander (dhania) seeds,methi seeds (fenugreek seeds),kalonji (onion nigella seeds),whole black peppercorns,dry red chillies,fennel seeds (saunf),inch cinnamon stick (dalchini),cloves (laung),cardamom (elaichi) pods/seeds,mustard seeds,hee,tamarind paste,jaggery,hee,mustard seeds,spricurry leaves,clovesarlic"
38,"jackfruit seeds (kathal),tamarind water,clovesarlic,mustard seeds,cumin seeds (jeera),curry leaves,turmeric powder (haldi),red chilli powder,sambar powder,asafoetida (hing),coriander (dhania) leaves,salt,sunflower oil,fresh coconut,whole black peppercorns,dry red chillies,onion,tomato,coriander (dhania) seeds,sunflower oil"
39,"eggplant,inchinger,onion,tomato,green chillies,turmeric powder,aram masala powder,coriander powder,butter,red chili powder,salt,oil,sprigs of coriander"
40,"s water,tea leaves,milk,saffron strands"
41,"raw mango,tamarind water,jaggery,sambar powder,turmeric powder,salt,mustard,asafoetida,spricurry leaves,dry red chillies,oil"
42,"jackfruit seeds (kathal),kala chana (brown chickpeas),mustard seeds,cumin seeds (jeera),spricurry leaves,tomato,tamarind water,turmeric powder (haldi),dry red chillies,cumin seeds (jeera),coriander (dhania) seeds,cloves (laung),inch cinnamon stick (dalchini),fresh coconut,inchinger,clovesarlic"
43,"whole wheat flour,salt,italian seasoning,cheese spread,broccoli,onion,red bell pepper (capsicum),salt,spriparsley leaves"
44,"s makki ka atta (yellow corn meal flour),s methi leaves (fenugreek leaves),green chillies,ajwain (carom seeds),kashmiri red chilli powder,salt"
45,"carrots (gajjar),s cabbage (pattaobi/ muttaikose),green bell pepper (capsicum),turmeric powder (haldi),sugar,lemon juice,salt,sunflower oil,mustard seeds,asafoetida (hing),spricurry leaves,green chillies"
46,"s all purpose flour (maida),s whole wheat flour,active dry yeast,salt,sugar,s lukewarm water,extra virgin olive oil"
47,"tomatoes,dry red chillies,tamarind paste,red chilli powder,turmeric powder (haldi),mustard seeds,methi seeds (fenugreek seeds),clovesarlic,sunflower oil,salt"
48,"brown rice,onions,longarlic,oregano,rosemary,red chilli flakes,salt,oil,water"
49,"s mango (ripe),water,sugar"
50,"whole wheat flour,salt,water,ghee"
51,"s ridgeourd skin (turai/ peerkangai),white urad dal (split),methi seeds (fenugreek seeds),dry red chillies,curry leaves,tamarind,mustard seeds,dry red chillies,curry leaves,sunflower oil,salt"
52,"broken wheat (dalia/odumai rava),salt,sunflower oil,ram flour (besan),onion,coriander (dhania) leaves,green chilli,salt,turmeric powder (haldi),cumin seeds (jeera),ajwain (carom seeds),sunflower oil,water,enos fruit salt,sunflower oil"
53,"s whole wheat flour,salt,ghee,hee,paneer (homemade cottage cheese),huncurd (greek yogurt),ram flour (besan),inchinger,clovesarlic,kasuri methi (dried fenugreek leaves),turmeric powder (haldi),chaat masala powder,aram masala powder,mint leaves (pudina),salt,coal,mint leaves (pudina),green bell pepper (capsicum),onion,lemon,salt"
54,"extra virgin olive oil,butter (unsalted),onion,s jasmine rice,salt,sweet corn,parsley leaves,parmesan cheese,mozzarella cheese,all purpose flour (maida),whole eggs,whole wheat bread crumbs,sunflower oil"
55,"fish fillet,prawns,clamps,baby potatoes,carrots (gajjar),onion,tomato,fresh red chillies,clovesarlic,cumin powder (jeera),paprika powder,salt,lemon juice,black pepper powder,coriander (dhania) leaves,extra virgin olive oil,chicken stock,coconut milk"
56,"hakka noodles,water,salt,sunflower oil,sunflower oil,onion,green bell pepper (capsicum),clovesarlic,soy sauce,red chilli sauce,white vinegar,tomato ketchup,dry red chillies,salt,black pepper powder"
57,"paneer (homemade cottage cheese),potato (aloo),bay leaf (tej patta),dry red chilli,panch phoran masala,tomato,turmeric powder (haldi),red chilli powder,cumin seeds (jeera),inger,salt,sugar,sunflower oil"
58,"s broccoli,mozzarella cheese,nutralite cheesyarlic mayo,corn flour,whole wheat bread crumbs,salt,nutralitearlic & oregano spread"
59,"mooli/ mullangi (radish),potato (aloo),onion,green chilli,kasundi mustard sauce,red chilli powder,turmeric powder (haldi),mustard seeds,cumin seeds (jeera),kalonji (onion nigella seeds),mustard oil,sugar,salt"
60,"chakundar,arhar dal,tamarind water,sambar powder,mustard,asafoetida,curry leaves,dry red chili,sesame oil,spricoriander,salt"
61,"whole wheat flour,spinach,kaddu (parangikai/ pumpkin),red chilli powder,turmeric powder (haldi),coriander powder (dhania),cumin seeds (jeera),salt,water,sunflower oil"
62,"whole egg,onion,jaggery,salt,sunflower oil,spricoriander (dhania) leaves,fresh coconut,coriander (dhania) seeds,dry red chilli,sesame seeds (til seeds),poppy seeds,inchinger,clovesarlic,badam (almond)"
63,"ram flour (besan),coconut milk,water,inchinger,clovesarlic,ajwain (carom seeds),asafoetida (hing),turmeric powder (haldi),bakinsoda,green chillies,onion,tomato,coriander (dhania) leaves,salt,sunflower oil"
64,"rice flour,water,sunflower oil,salt,s white urad dal (whole),green chillies,inchinger,asafoetida (hing),salt,sesame (gingelly) oil,mustard seeds,spricurry leaves"
65,"boneless chicken,sprinonionreens,green chillies,arlic,soy sauce,lemon juice,black pepper powder,red chilli powder,cumin powder (jeera),red chilli sauce,sweet and spicy red chilli sauce (tomato chilli sauce),salt,red chilli sauce,sunflower oil,s rice,arlic,inger,green chillies,green bell pepper (capsicum),sprinonion (bulb &reens),onions,carrots (gajjar),salt,chinese  spice powder,white pepper powder,sunflower oil,egnoodles,classic mayonnaise (with egg),tomato ketchup,red chilli sauce,vinegar"
66,"rice,hee,cumin seeds,bay leaf,lentil sugar,long,green chillies,ingerarlic paste,onions,tomatoes,capsicum (green),red chilli powder,turmeric powder,coriander powder,aram masala powder,tofu,salt,coriander"
67,"paneer (homemade cottage cheese),potatoes (aloo),onion,inchinger,clovesarlic,green bell pepper (capsicum),tomatoes,pav bhaji masala,salt,coriander (dhania) leaves,french bread,rocket leaves"
68,"s tomatoes,onion,red wine vinaigrette,dried oregano,clovesarlic,black pepper powder,dijon mustard,cane sugar,to   extra virgin olive oil,salt"
69,"onions,clovesarlic,fresh coconut,coriander (dhania) leaves,cumin seeds (jeera),red chilli powder,turmeric powder (haldi),aram masala powder,salt,ram flour (besan),red chilli powder,turmeric powder (haldi),salt"
70,"mooli/ mullangi (radish),s water,aram masala powder,salt,black pepper powder,mooli/ mullangi (radish),coriander (dhania) leaves"
71,"s vivatta maida,mango pulp (puree),bakinpowder,bakinsoda,sunflower oil,sugar,salt,vanilla extract,dark chocolate,fresh cream,cocoa powder,sugar"
72,"all purpose flour (maida),sunflower oil,ajwain (carom seeds),salt,sunflower oil,reen peas (matar),paneer (homemade cottage cheese),coriander powder (dhania),red chilli powder,amchur (dry mango powder),turmeric powder (haldi),sunflower oil,salt and pepper,onion,homemade tomato puree,ingerarlic paste,whole cashews,curd (dahi / yogurt),cloves (laung),mace (javitri),cardamom (elaichi) pods/seeds,inch cinnamon stick (dalchini),cumin seeds (jeera),aram masala powder,red chilli powder,turmeric powder (haldi),coriander powder (dhania),kasuri methi (dried fenugreek leaves),sugar,salt,coriander (dhania) leaves,fresh cream,sunflower oil"
73,"green zucchini,salt,extra virgin olive oil,mozzarella cheese,green zucchini,red bell pepper (capsicum),onion,clovesarlic,dried thyme leaves,rosemary,red chilli flakes,salt,tomatoes,onion,clovesarlic,black pepper corns,red chilli flakes,sugar,basil leaves,salt"
74,"fresh coconut,s cooked rice,mustard seeds,white urad dal (split),chana dal (bengalram dal),raw peanuts (moongphali),spricurry leaves,or reen chillies,inger,+   coconut oil,salt"
75,"hoplum (amtekai),fresh coconut,turmeric powder (haldi),coriander (dhania) seeds,black urad dal (split),rice,methi seeds (fenugreek seeds),whole black peppercorns,dry red chilli,jaggery,asafoetida (hing),karela (bitterourd/ pavakkai),salt,sunflower oil,sunflower oil,mustard seeds,asafoetida (hing)"
76,"s cauliflower (gobi),garlic,cumin seeds (jeera),coriander powder (dhania),black pepper powder,extra virgin olive oil,anardana powder (pomegranate seed powder),pomegranate molasses,fresh herbs,salt"
77,"lukewarm water,active dry yeast,sugar,milk powder,vivatta maida,salt,butter (unsalted),egwhite"
78,"s basmati rice,yellow bell pepper (capsicum),red bell pepper (capsicum),green bell pepper (capsicum),green chillies,inchinger,butter,sesame seeds (til seeds),salt"
79,"poha (flattened rice),rice flour,milk,nolenur,cardamom (elaichi) pods/seeds,mixed nuts,raisins,saffron strands,salt"
80,"s fresh cream,water"
81,"rice flour,salt,sunflower oil,bok choy,carrot (gajjar),cabbage (pattaobi/ muttaikose),button mushrooms,corn flour,dark soy sauce,bean paste,red chilli sauce,sugar,sunflower oil,salt"
82,"s curd (dahi / yogurt),fresh coconut,vellai poosanikai (ashourd/white pumpkin),green chillies,black pepper powder,water,turmeric powder (haldi),salt,coconut oil,mustard seeds,methi seeds (fenugreek seeds),spricurry leaves,dry red chilli"
83,"reen peas,cheese,cut  inchinger - reen chili,turmeric powder,red chili powder,mango powder powder,coriander powder,salt,wheat flour,salt,oil,water"
84,"elephant yam,reen chilli,inchinger,coriander,salt,curd,oil,asafetida,rye,kali urad dal (split)"
85,"rice noodles,baby corn,capsicum (red),capsicum (yellow),capsicum (green),thai basil leaves,reen onions,clovesarlic,inchinger,brown sugar,honey,soy sauce,fish sauce,sriracha sauce"
86,"shrimps,s basmati rice,shallots,inger,arlic,fresh coconut,reen chilli,huncurd (greek yogurt),spricurry leaves,sunflower oil,hee,coriander powder (dhania),red chilli powder,turmeric powder (haldi),aram masala powder,whole black peppercorns,cardamom (elaichi) pods/seeds,black cardamom (badi elaichi),inch cinnamon stick (dalchini),bay leaves (tej patta),dry red chilli,cumin seeds (jeera)"
87,"walnuts,dried figs,flax seeds,honey,roasted peanuts (moongphali),cinnamon powder (dalchini)"
88,"gram chicken,inger,arlic,fresh cream,badam (almond),lemon juice,black pepper powder,salt,onion,fresh cream,milk,cardamom powder (elaichi),inch cinnamon stick (dalchini),bay leaf (tej patta),kasuri methi (dried fenugreek leaves),hee"
89,"sooji (semolina/ rava),hee,s milk,sugar,saffron strands,cardamom (elaichi) pods/seeds,hee,cashew nuts,raisins,mixed dry fruits"
90,"chicken breasts,red bell pepper (capsicum),onion,lemon juice,dried thyme leaves,red chilli flakes,black pepper powder,extra virgin olive oil,salt"
91,"rice,s water,hee,cardamom,long,star anise,inch cinnamon,whole black pepper,salt,bay leaf,onion,spriofreen coriander,spriof mint,of cottage cheese,tomatoes,cream,onion,inchinger,clovesarlic,green chili,cardamom powder,cumin powder,aram masala powder,red chilli powder,kasoori methi,honey,salt,as per taste,cashews"
92,"oond (edibleum),hee,whole wheat flour,sugar,dry coconut (kopra),badam (almond),cashew nuts"
93,"sooji (semolina/ rava),all purpose flour (maida),milk,sugar,hee"
94,"s coconut milk,water,roasted chana lentils,green chillies,oil,mustard,small spoon turmeric powder,cumin seeds,curry leaves,salt,coriander leaves"
95,"s water,tulsi (holy basil),black pepper powder,dryinger powder,palm sugar"
96,"carrot (gajjar),sweet corn,whole wheat flour,onion,del monte sandwich spread,coriander (dhania) leaves,curd (dahi / yogurt),whole eggs,bakinpowder,bakinsoda,green chillies,butter,salt,black pepper powder"
97,"whole eggs,sunflower oil,roastedram dal (pottukadalai),dry red chillies,inchinger,clovesarlic,whole black peppercorns,salt"
98,"s fresh coconut,palm jaggery,poha (flattened rice),all purpose flour (maida),sooji (semolina/ rava),milk,milk,palm jaggery"
99,"ingelly oil,mustard seeds,methi seeds (fenugreek seeds),asafoetida (hing),dry red chillies,pearl onions (sambar onions),spricurry leaves,urad dal papad,tamarind water,sambar powder,jaggery,turmeric powder (haldi),s water,salt"
100,"basmati rice,cinnamon stick (dalchini),cloves (laung),cardamom (elaichi) pods/seeds,milk,water,saffron strands,cumin powder (jeera),sunflower oil,salt,anardana powder (pomegranate seed powder),cashew nuts,badam (almond),raisins,dates,ghee"
101,"button mushrooms,reen peas (matar),sunflower oil,cumin seeds (jeera),mustard seeds,asafoetida (hing),onion,onion,tomato,ingerarlic paste,green chilli,red chilli powder,turmeric powder (haldi),coriander powder (dhania),aram masala powder,water,spricoriander (dhania) leaves"
102,"coriander (dhania) leaves,green chillies,inchinger,salt,lemon,s kabuli chana (white chickpeas),hee,onion,inchinger,clovesarlic,cinnamon stick (dalchini),bay leaf (tej patta),brown cardamom (badi elaichi),black salt (kala namak),aram masala powder,coriander powder (dhania),black salt (kala namak),salt,salt"
103,"oil,mustard,capsicum (yellow),capsicum (red),capsicum (green),onion,curry leaves,salt,peanuts,coconut,dry red chillies,clovesarlic,cumin seeds,sprigreen coriander"
104,"raw banana,suran,blackram,turmeric powder,red chili powder,salt,cumin seeds,coconut,whole black pepper,clovesarlic,green chili,oil,mustard"
105,"potatoes (aloo),mozzarella cheese,mustard seeds,inchinger,onion,green chillies,asafoetida (hing),turmeric powder (haldi),coriander (dhania) leaves,sunflower oil,ram flour (besan),turmeric powder (haldi),salt"
106,"paneer (homemade cottage cheese),clovesarlic,inchinger,fresh red chillies,red bell pepper (capsicum),cumin powder (jeera),coriander powder (dhania),aram masala powder,gram curd (dahi / yogurt),butter,onions,homemade tomato puree,whole cashews,fresh cream,coriander (dhania) leaves,lemon juice,turmeric powder (haldi),lemon juice,turmeric powder (haldi)"
107,"whole wheat flour,spinach leaves (palak),water,potatoes (aloo),paneer (homemade cottage cheese),coriander (dhania) leaves,aram masala powder,salt,cumin powder (jeera),red chilli powder,mixed nuts,raisins,ghee"
108,"hard taco shells,hariyali chicken tikka,summer salad,refried beans,nutralite cheesyarlic mayo,tomato salsa"
109,"trumpet,mustard,cumin seeds,ginger,tomatoes,turmeric powder,red chilli powder,small spoon coriander powder,jaggery,oil,salt,water,coriander leaves"
110,"s basmati rice,button mushrooms,soy chunks (nuggets),onion,inchinger,curd (dahi / yogurt),biryani masala,clovesarlic,turmeric powder (haldi),aram masala powder,red chilli powder,mint leaves (pudina),salt,hee,green chillies,ajwain (carom seeds),bay leaf (tej patta),star anise,cardamom (elaichi) pods/seeds,cloves (laung),inch cinnamon stick (dalchini)"
111,"carrot (gajjar),potatoes (aloo),s cauliflower (gobi),onion,ingerarlic paste,salt,sunflower oil,fresh coconut,whole black peppercorns,green chillies,fennel seeds (saunf),poppy seeds,cashew nuts,inch cinnamon stick (dalchini),star anise,cloves (laung),cardamom (elaichi) pods/seeds,cumin seeds (jeera)"
112,"cabbage (pattaobi/ muttaikose),mustard seeds,white urad dal (split),spricurry leaves,green chilli,fresh coconut,salt"
113,"brinjal (baingan / eggplant),tomatoes,onions,ingerarlic paste,tamarind,mustard seeds,whole black peppercorns,jaggery,turmeric powder (haldi),red chilli powder,sunflower oil,salt,coriander (dhania) leaves"
114,"iceberlettuce,chicken breasts,sunflower oil,salt,black pepper powder,arlic,button mushrooms,sprinonion (bulb &reens),chilli vinegar,soy sauce,red chilli sauce,sweet and spicy red chilli sauce (tomato chilli sauce)"
115,"lemon juice,curd (dahi / yogurt),sugar,fresh cream,turmeric powder (haldi),vanilla extract,orange zest (rind),orange"
116,"whole wheat brown bread,paneer (homemade cottage cheese),green bell pepper (capsicum),green chilli,chaat masala powder,black pepper powder,butter,salt"
117,"elephant yam (suran/senai/ratalu),onion,green chillies,inger,arlic,spricurry leaves,cumin seeds (jeera),turmeric powder (haldi),coriander powder (dhania),cumin powder (jeera),red chilli powder,black pepper powder,aram masala powder,salt,sunflower oil"
118,"coconut oil,spricurry leaves,longarlic,inchinger,onion,tomatoes,turmeric powder,aram masala powder,red chilli powder,coriander powder,chicken breast,salt,s water"
119,"bottleourd (lauki),onion,clovesarlic,inchinger,green chillies,cumin seeds (jeera),mustard seeds,methi seeds (fenugreek seeds),turmeric powder (haldi),red chilli powder,coriander powder (dhania),tamarind water,tomatoes,sunflower oil,salt,spricoriander (dhania) leaves,roasted peanuts (moongphali),sesame seeds (til seeds),fresh coconut"
120,"arhar dal (split toor dal),s water,turmeric powder (haldi),inger,green chillies,tamarind,lemon juice,hee,mustard seeds,asafoetida (hing),curry leaves,coriander (dhania) leaves"
121,"chicken breasts,coriander powder (dhania),red chilli powder,cumin powder (jeera),black pepper powder,turmeric powder (haldi),ingerarlic paste,extra virgin olive oil,salt,whole wheat flour,active dry yeast,milk,sugar,salt,cucumber,carrot (gajjar),tomato,chilli vinegar,salt,sugar,homemade hummus,tzatziki,onion"
122,"whole wheat flour,sunflower oil,salt,ghee,button mushrooms,onion,cumin seeds (jeera),aram masala powder,green chillies,turmeric powder (haldi),ghee"
123,"chana dal (bengalram dal),spinach leaves (palak),s water,turmeric powder (haldi),salt,hee,asafoetida (hing),cumin seeds (jeera),dry red chillies,ingerarlic paste,onion,green chillies,tomato,turmeric powder (haldi),red chilli powder,cumin powder (jeera),salt"
124,"yellow moondal (split),cucumber,carrot (gajjar),fresh coconut,lemon juice,salt,sunflower oil,mustard seeds,green chillies,asafoetida (hing),spricurry leaves,coriander (dhania) leaves"
125,"sooji (semolina/ rava),curd (dahi / yogurt),saffron strands,cardamom powder (elaichi),bakinpowder,caster sugar,cashew nuts,raisins,hee"
126,"s ragi flour (finger millet/ nagli),onion,green chillies,carrot (gajjar),dill leaves,coriander (dhania) leaves,cumin seeds (jeera),salt,ghee"
127,"sweet potatoes,onion,rasam powder,turmeric powder (haldi),asafoetida (hing),salt,sunflower oil,mustard seeds,white urad dal (split),spricurry leaves"
128,"oreo biscuits,vanilla ice cream,milk,chocolate sauce,chocolate sauce,heavy whippincream"
129,"sweet corn,butter,paprika powder,del monte cheesyarlic mayo,lemon,coriander (dhania) leaves,parmesan cheese"
130,"s paneer (homemade cottage cheese),sunflower oil,reen peas (matar),salt,sugar,red chilli powder,milk,kasuri methi (dried fenugreek leaves),onion,tomatoes,inchinger,clovearlic,hee,dry red chillies,cardamom (elaichi) pods/seeds,inch cinnamon stick (dalchini),whole black peppercorns,coriander (dhania) seeds,cashew nuts"
131,"eggplant,s yogurt,green chilli,cumin powder,kashmiri red chilli powder,aram masala powder,onion,salt,coriander"
132,"ram flour (besan),ajwain (carom seeds),red chilli powder,curd (dahi / yogurt),sunflower oil,salt,green bell pepper (capsicum),cumin seeds (jeera),asafoetida (hing),turmeric powder (haldi),red chilli powder,aram masala powder,amchur (dry mango powder),coriander powder (dhania),coriander powder (dhania),salt,spricoriander (dhania) leaves,sunflower oil"
133,"chicken,sunflower oil,arlic,inger,green chillies,onion,green bell pepper (capsicum),soy sauce,vinegar,black pepper powder,salt,red chilli sauce,reen chilli sauce,roasted tomato pasta sauce,corn flour,water,black pepper powder,soy sauce,red chilli sauce,corn flour,all purpose flour (maida),water,salt"
134,"aar maach (fish),tomato,bay leaf (tej patta),ingerarlic paste,green chillies,cumin seeds (jeera),coriander powder (dhania),red chilli powder,turmeric powder (haldi),mustard oil,salt,water,coriander (dhania) leaves"
135,"reen amaranth leaves,tamarind,onion,tomato,clovesarlic,mustard seeds,asafoetida (hing),spricurry leaves,sambar powder,methi powder (fenugreek powder),sesame (gingelly) oil,salt,salt"
136,"raw peanuts (moongphali),ram flour (besan),rice flour,red chilli powder,coriander powder (dhania),chaat masala powder,water,black pepper powder,sunflower oil,salt,sunflower oil"
137,"black urad dal (split),kidney beans,tomatoes,inchinger,hee,cumin seeds,kashmiri red chilli powder,coriander powder,aram masala powder,salt"
138,"button mushrooms,spinach leaves (palak),tomato,clovesarlic,inchinger,green chillies,cumin seeds (jeera),inch cinnamon stick (dalchini),cumin powder (jeera),turmeric powder (haldi),aram masala powder,fresh cream,hee,salt"
139,"curd vada,papdi puris,sweet chutney (date & tamarind),reen chutney (coriander & mint),chaat masala powder,cumin powder (jeera),onions,carrot (gajjar),anardana powder (pomegranate seed powder),raw peanuts (moongphali),boondi,spricoriander (dhania) leaves"
140,"wheatrass powder,black pepper powder,black salt (kala namak),cumin powder (jeera),lemon"
141,"kabuli channa,oil,cumin seeds,inger,chana masala powder,red chilli powder,spoon cumin powder,amchoor powder,turmeric powder,coriander powder,salt"
142,"kachris,clovesarlic,dry red chillies,cumin seeds,salt,curd,hee"
143,"potatoes,gms cheese,tomatoes,inchinger,green chillies,red chilli powder,coriander powder,cumin powder,salt,oil -reen coriander"
144,"s lentil water,water,long,whole black peppers,cumin,mustard,bay leaf,curry leaves,jaggery,tamarind paste,oda masala,oil,coriander leaves,salt"
145,"whole wheat flour,all purpose flour (maida),sooji (semolina/ rava),curd (dahi / yogurt),turmeric powder (haldi),salt,sunflower oil,potatoes (aloo),cumin seeds (jeera),onion,clovesarlic,inchinger,green chillies,curry leaves,spricoriander (dhania) leaves,red chilli powder,turmeric powder (haldi),salt,sunflower oil"
146,"cabbage,reen peas,onion,green chillies,tomato,ingerarlic paste,turmeric powder,aram masala powder,oil,red chilli powder,salt,coriander leaves"
