,TranslatedIngredients
29,"reenbeansfrenchbeans,clovesarlic,soysauce,thaisweetchillisauce,lemon,ricewinevinegar,roastedpeanutsmoongphali,salt,sesamegingellyoil"
30,"sunfloweroil,purposeflourmaida,bakinpowder,water,sunfloweroil,honey,sugar,sesameseedstilseeds,water,vanillaextract"
31,"sundkai,fenugreek,arhardal,tomato,tamarind,turmericpowder,sambarpowder,corianderpowder,mustard,cuminseeds,dryredchili,asafoetida,oil,salt,curryleaves,greencoriander,water"
32,"cabbagepattaobimuttaikose,spinach,freshpomegranatefruitkernels,lemonjuice,extravirginoliveoil,saltpepper"
33,"purposeflourmaida,hee,salt,sunfloweroil,hee,cuminseedsjeera,reenchillisauce,cinnamonpowderdalchini,arammasalapowder,redchillipowder,amchurdrymangopowder,sreenpeasmatar,salt,purposeflourmaida,water"
34,"purposeflourmaida,sugar,darkchocolate,cocoapowder,saltedbutter,milk,bakinpowder,bakinsoda,vanillaextract,britanniacreamcheese,castersugar,vanillaextract,freshraspberries"
35,"ada,milk,sugar,hee,cardamompowderelaichi"
36,"tindoradondakayakovakkai,redchillipowder,methiseedsmethikuria,mustardseedsraikuria,turmericpowderhaldi,asafoetidahing,sunfloweroil,lemon,salt"
37,"chickenlegs,huncurdgreekyogurt,turmericpowderhaldi,salt,sunfloweroil,onion,clovesarlic,inchinger,freshcoconut,cuminseedsjeera,corianderdhaniaseeds,methiseedsfenugreekseeds,kalonjionionnigellaseeds,wholeblackpeppercorns,dryredchillies,fennelseedssaunf,inchcinnamonstickdalchini,cloveslaung,cardamomelaichipodsseeds,mustardseeds,hee,tamarindpaste,jaggery,hee,mustardseeds,spricurryleaves,clovesarlic"
38,"jackfruitseedskathal,tamarindwater,clovesarlic,mustardseeds,cuminseedsjeera,curryleaves,turmericpowderhaldi,redchillipowder,sambarpowder,asafoetidahing,corianderdhanialeaves,salt,sunfloweroil,freshcoconut,wholeblackpeppercorns,dryredchillies,onion,tomato,corianderdhaniaseeds,sunfloweroil"
39,"eggplant,inchinger,onion,tomato,greenchillies,turmericpowder,arammasalapowder,corianderpowder,butter,redchilipowder,salt,oil,sprigscoriander"
40,"water,tealeaves,milk,saffronstrands"
41,"rawmango,tamarindwater,jaggery,sambarpowder,turmericpowder,salt,mustard,asafoetida,spricurryleaves,dryredchillies,oil"
42,"jackfruitseedskathal,kalachanabrownchickpeas,mustardseeds,cuminseedsjeera,spricurryleaves,tomato,tamarindwater,turmericpowderhaldi,dryredchillies,cuminseedsjeera,corianderdhaniaseeds,cloveslaung,inchcinnamonstickdalchini,freshcoconut,inchinger,clovesarlic"
43,"wholewheatflour,salt,italianseasoning,cheesespread,broccoli,onion,redbellpeppercapsicum,salt,spriparsleyleaves"
44,"makkikaattayellowcornmealflour,methileavesfenugreekleaves,greenchillies,ajwaincaromseeds,kashmiriredchillipowder,salt"
45,"carrotsgajjar,cabbagepattaobimuttaikose,greenbellpeppercapsicum,turmericpowderhaldi,sugar,lemonjuice,salt,sunfloweroil,mustardseeds,asafoetidahing,spricurryleaves,greenchillies"
46,"purposeflourmaida,wholewheatflour,activedryyeast,salt,sugar,lukewarmwater,extravirginoliveoil"
47,"tomatoes,dryredchillies,tamarindpaste,redchillipowder,turmericpowderhaldi,mustardseeds,methiseedsfenugreekseeds,clovesarlic,sunfloweroil,salt"
48,"brownrice,onions,longarlic,oregano,rosemary,redchilliflakes,salt,oil,water"
49,"mangoripe,water,sugar"
50,"wholewheatflour,salt,water,ghee"
51,"ridgeourdskinturaipeerkangai,whiteuraddal,methiseedsfenugreekseeds,dryredchillies,curryleaves,tamarind,mustardseeds,dryredchillies,curryleaves,sunfloweroil,salt"
52,"brokenwheatdaliaodumairava,salt,sunfloweroil,ramflourbesan,onion,corianderdhanialeaves,greenchilli,salt,turmericpowderhaldi,cuminseedsjeera,ajwaincaromseeds,sunfloweroil,water,enosfruitsalt,sunfloweroil"
53,"wholewheatflour,salt,ghee,hee,paneerhomemadecottagecheese,huncurdgreekyogurt,ramflourbesan,inchinger,clovesarlic,kasurimethidriedfenugreekleaves,turmericpowderhaldi,chaatmasalapowder,arammasalapowder,mintleavespudina,salt,coal,mintleavespudina,greenbellpeppercapsicum,onion,lemon,salt"
54,"extravirginoliveoil,butter,onion,jasminerice,salt,sweetcorn,parsleyleaves,parmesancheese,mozzarellacheese,purposeflourmaida,wholeeggs,wholewheatbreadcrumbs,sunfloweroil"
55,"fishfillet,prawns,clamps,babypotatoes,carrotsgajjar,onion,tomato,freshredchillies,clovesarlic,cuminpowderjeera,paprikapowder,salt,lemonjuice,blackpepperpowder,corianderdhanialeaves,extravirginoliveoil,chickenstock,coconutmilk"
56,"hakkanoodles,water,salt,sunfloweroil,sunfloweroil,onion,greenbellpeppercapsicum,clovesarlic,soysauce,redchillisauce,whitevinegar,tomatoketchup,dryredchillies,salt,blackpepperpowder"
57,"paneerhomemadecottagecheese,potatoaloo,bayleaftejpatta,dryredchilli,panchphoranmasala,tomato,turmericpowderhaldi,redchillipowder,cuminseedsjeera,inger,salt,sugar,sunfloweroil"
58,"broccoli,mozzarellacheese,nutralitecheesyarlicmayo,cornflour,wholewheatbreadcrumbs,salt,nutralitearlicoreganospread"
59,"moolimullangiradish,potatoaloo,onion,greenchilli,kasundimustardsauce,redchillipowder,turmericpowderhaldi,mustardseeds,cuminseedsjeera,kalonjionionnigellaseeds,mustardoil,sugar,salt"
60,"chakundar,arhardal,tamarindwater,sambarpowder,mustard,asafoetida,curryleaves,dryredchili,sesameoil,spricoriander,salt"
61,"wholewheatflour,spinach,kadduparangikaipumpkin,redchillipowder,turmericpowderhaldi,corianderpowderdhania,cuminseedsjeera,salt,water,sunfloweroil"
62,"wholeegg,onion,jaggery,salt,sunfloweroil,spricorianderdhanialeaves,freshcoconut,corianderdhaniaseeds,dryredchilli,sesameseedstilseeds,poppyseeds,inchinger,clovesarlic,badamalmond"
63,"ramflourbesan,coconutmilk,water,inchinger,clovesarlic,ajwaincaromseeds,asafoetidahing,turmericpowderhaldi,bakinsoda,greenchillies,onion,tomato,corianderdhanialeaves,salt,sunfloweroil"
64,"riceflour,water,sunfloweroil,salt,whiteuraddal,greenchillies,inchinger,asafoetidahing,salt,sesamegingellyoil,mustardseeds,spricurryleaves"
65,"bonelesschicken,sprinonionreens,greenchillies,arlic,soysauce,lemonjuice,blackpepperpowder,redchillipowder,cuminpowderjeera,redchillisauce,sweetspicyredchillisaucetomatochillisauce,salt,redchillisauce,sunfloweroil,rice,arlic,inger,greenchillies,greenbellpeppercapsicum,sprinonionbulbreens,onions,carrotsgajjar,salt,chinesespicepowder,whitepepperpowder,sunfloweroil,egnoodles,classicmayonnaisewithegg,tomatoketchup,redchillisauce,vinegar"
66,"rice,hee,cuminseeds,bayleaf,lentilsugar,long,greenchillies,ingerarlicpaste,onions,tomatoes,capsicumgreen,redchillipowder,turmericpowder,corianderpowder,arammasalapowder,tofu,salt,coriander"
67,"paneerhomemadecottagecheese,potatoesaloo,onion,inchinger,clovesarlic,greenbellpeppercapsicum,tomatoes,pavbhajimasala,salt,corianderdhanialeaves,frenchbread,rocketleaves"
68,"tomatoes,onion,redwinevinaigrette,driedoregano,clovesarlic,blackpepperpowder,dijonmustard,canesugar,extravirginoliveoil,salt"
69,"onions,clovesarlic,freshcoconut,corianderdhanialeaves,cuminseedsjeera,redchillipowder,turmericpowderhaldi,arammasalapowder,salt,ramflourbesan,redchillipowder,turmericpowderhaldi,salt"
70,"moolimullangiradish,water,arammasalapowder,salt,blackpepperpowder,moolimullangiradish,corianderdhanialeaves"
71,"vivattamaida,mangopulppuree,bakinpowder,bakinsoda,sunfloweroil,sugar,salt,vanillaextract,darkchocolate,freshcream,cocoapowder,sugar"
72,"purposeflourmaida,sunfloweroil,ajwaincaromseeds,salt,sunfloweroil,reenpeasmatar,paneerhomemadecottagecheese,corianderpowderdhania,redchillipowder,amchurdrymangopowder,turmericpowderhaldi,sunfloweroil,saltpepper,onion,homemadetomatopuree,ingerarlicpaste,wholecashews,curddahiyogurt,cloveslaung,macejavitri,cardamomelaichipodsseeds,inchcinnamonstickdalchini,cuminseedsjeera,arammasalapowder,redchillipowder,turmericpowderhaldi,corianderpowderdhania,kasurimethidriedfenugreekleaves,sugar,salt,corianderdhanialeaves,freshcream,sunfloweroil"
73,"greenzucchini,salt,extravirginoliveoil,mozzarellacheese,greenzucchini,redbellpeppercapsicum,onion,clovesarlic,driedthymeleaves,rosemary,redchilliflakes,salt,tomatoes,onion,clovesarlic,blackpeppercorns,redchilliflakes,sugar,basilleaves,salt"
74,"freshcoconut,cookedrice,mustardseeds,whiteuraddal,chanadalbengalramdal,rawpeanutsmoongphali,spricurryleaves,reenchillies,inger,coconutoil,salt"
75,"hoplumamtekai,freshcoconut,turmericpowderhaldi,corianderdhaniaseeds,blackuraddal,rice,methiseedsfenugreekseeds,wholeblackpeppercorns,dryredchilli,jaggery,asafoetidahing,karelabitterourdpavakkai,salt,sunfloweroil,sunfloweroil,mustardseeds,asafoetidahing"
76,"cauliflowergobi,garlic,cuminseedsjeera,corianderpowderdhania,blackpepperpowder,extravirginoliveoil,anardanapowderpomegranateseedpowder,pomegranatemolasses,freshherbs,salt"
77,"lukewarmwater,activedryyeast,sugar,milkpowder,vivattamaida,salt,butter,egwhite"
78,"basmatirice,yellowbellpeppercapsicum,redbellpeppercapsicum,greenbellpeppercapsicum,greenchillies,inchinger,butter,sesameseedstilseeds,salt"
79,"pohaflattenedrice,riceflour,milk,nolenur,cardamomelaichipodsseeds,mixednuts,raisins,saffronstrands,salt"
80,"freshcream,water"
81,"riceflour,salt,sunfloweroil,bokchoy,carrotgajjar,cabbagepattaobimuttaikose,buttonmushrooms,cornflour,darksoysauce,beanpaste,redchillisauce,sugar,sunfloweroil,salt"
82,"curddahiyogurt,freshcoconut,vellaipoosanikaiashourdwhitepumpkin,greenchillies,blackpepperpowder,water,turmericpowderhaldi,salt,coconutoil,mustardseeds,methiseedsfenugreekseeds,spricurryleaves,dryredchilli"
83,"reenpeas,cheese,cutinchingerreenchili,turmericpowder,redchilipowder,mangopowderpowder,corianderpowder,salt,wheatflour,salt,oil,water"
84,"elephantyam,reenchilli,inchinger,coriander,salt,curd,oil,asafetida,rye,kaliuraddal"
85,"ricenoodles,babycorn,capsicumred,capsicumyellow,capsicumgreen,thaibasilleaves,reenonions,clovesarlic,inchinger,brownsugar,honey,soysauce,fishsauce,srirachasauce"
86,"shrimps,basmatirice,shallots,inger,arlic,freshcoconut,reenchilli,huncurdgreekyogurt,spricurryleaves,sunfloweroil,hee,corianderpowderdhania,redchillipowder,turmericpowderhaldi,arammasalapowder,wholeblackpeppercorns,cardamomelaichipodsseeds,blackcardamombadielaichi,inchcinnamonstickdalchini,bayleavestejpatta,dryredchilli,cuminseedsjeera"
87,"walnuts,driedfigs,flaxseeds,honey,roastedpeanutsmoongphali,cinnamonpowderdalchini"
88,"gramchicken,inger,arlic,freshcream,badamalmond,lemonjuice,blackpepperpowder,salt,onion,freshcream,milk,cardamompowderelaichi,inchcinnamonstickdalchini,bayleaftejpatta,kasurimethidriedfenugreekleaves,hee"
89,"soojisemolinarava,hee,milk,sugar,saffronstrands,cardamomelaichipodsseeds,hee,cashewnuts,raisins,mixeddryfruits"
90,"chickenbreasts,redbellpeppercapsicum,onion,lemonjuice,driedthymeleaves,redchilliflakes,blackpepperpowder,extravirginoliveoil,salt"
91,"rice,water,hee,cardamom,long,staranise,inchcinnamon,wholeblackpepper,salt,bayleaf,onion,spriofreencoriander,spriofmint,cottagecheese,tomatoes,cream,onion,inchinger,clovesarlic,greenchili,cardamompowder,cuminpowder,arammasalapowder,redchillipowder,kasoorimethi,honey,salt,,cashews"
92,"oondedibleum,hee,wholewheatflour,sugar,drycoconutkopra,badamalmond,cashewnuts"
93,"soojisemolinarava,purposeflourmaida,milk,sugar,hee"
94,"coconutmilk,water,roastedchanalentils,greenchillies,oil,mustard,smallspoonturmericpowder,cuminseeds,curryleaves,salt,corianderleaves"
95,"water,tulsiholybasil,blackpepperpowder,dryingerpowder,palmsugar"
96,"carrotgajjar,sweetcorn,wholewheatflour,onion,delmontesandwichspread,corianderdhanialeaves,curddahiyogurt,wholeeggs,bakinpowder,bakinsoda,greenchillies,butter,salt,blackpepperpowder"
97,"wholeeggs,sunfloweroil,roastedramdalpottukadalai,dryredchillies,inchinger,clovesarlic,wholeblackpeppercorns,salt"
98,"freshcoconut,palmjaggery,pohaflattenedrice,purposeflourmaida,soojisemolinarava,milk,milk,palmjaggery"
99,"ingellyoil,mustardseeds,methiseedsfenugreekseeds,asafoetidahing,dryredchillies,pearlonionssambaronions,spricurryleaves,uraddalpapad,tamarindwater,sambarpowder,jaggery,turmericpowderhaldi,water,salt"
100,"basmatirice,cinnamonstickdalchini,cloveslaung,cardamomelaichipodsseeds,milk,water,saffronstrands,cuminpowderjeera,sunfloweroil,salt,anardanapowderpomegranateseedpowder,cashewnuts,badamalmond,raisins,dates,ghee"
101,"buttonmushrooms,reenpeasmatar,sunfloweroil,cuminseedsjeera,mustardseeds,asafoetidahing,onion,onion,tomato,ingerarlicpaste,greenchilli,redchillipowder,turmericpowderhaldi,corianderpowderdhania,arammasalapowder,water,spricorianderdhanialeaves"
102,"corianderdhanialeaves,greenchillies,inchinger,salt,lemon,kabulichanawhitechickpeas,hee,onion,inchinger,clovesarlic,cinnamonstickdalchini,bayleaftejpatta,browncardamombadielaichi,blacksaltkalanamak,arammasalapowder,corianderpowderdhania,blacksaltkalanamak,salt,salt"
103,"oil,mustard,capsicumyellow,capsicumred,capsicumgreen,onion,curryleaves,salt,peanuts,coconut,dryredchillies,clovesarlic,cuminseeds,sprigreencoriander"
104,"rawbanana,suran,blackram,turmericpowder,redchilipowder,salt,cuminseeds,coconut,wholeblackpepper,clovesarlic,greenchili,oil,mustard"
105,"potatoesaloo,mozzarellacheese,mustardseeds,inchinger,onion,greenchillies,asafoetidahing,turmericpowderhaldi,corianderdhanialeaves,sunfloweroil,ramflourbesan,turmericpowderhaldi,salt"
106,"paneerhomemadecottagecheese,clovesarlic,inchinger,freshredchillies,redbellpeppercapsicum,cuminpowderjeera,corianderpowderdhania,arammasalapowder,gramcurddahiyogurt,butter,onions,homemadetomatopuree,wholecashews,freshcream,corianderdhanialeaves,lemonjuice,turmericpowderhaldi,lemonjuice,turmericpowderhaldi"
107,"wholewheatflour,spinachleavespalak,water,potatoesaloo,paneerhomemadecottagecheese,corianderdhanialeaves,arammasalapowder,salt,cuminpowderjeera,redchillipowder,mixednuts,raisins,ghee"
108,"hardtacoshells,hariyalichickentikka,summersalad,refriedbeans,nutralitecheesyarlicmayo,tomatosalsa"
109,"trumpet,mustard,cuminseeds,ginger,tomatoes,turmericpowder,redchillipowder,smallspooncorianderpowder,jaggery,oil,salt,water,corianderleaves"
110,"basmatirice,buttonmushrooms,soychunksnuggets,onion,inchinger,curddahiyogurt,biryanimasala,clovesarlic,turmericpowderhaldi,arammasalapowder,redchillipowder,mintleavespudina,salt,hee,greenchillies,ajwaincaromseeds,bayleaftejpatta,staranise,cardamomelaichipodsseeds,cloveslaung,inchcinnamonstickdalchini"
111,"carrotgajjar,potatoesaloo,cauliflowergobi,onion,ingerarlicpaste,salt,sunfloweroil,freshcoconut,wholeblackpeppercorns,greenchillies,fennelseedssaunf,poppyseeds,cashewnuts,inchcinnamonstickdalchini,staranise,cloveslaung,cardamomelaichipodsseeds,cuminseedsjeera"
112,"cabbagepattaobimuttaikose,mustardseeds,whiteuraddal,spricurryleaves,greenchilli,freshcoconut,salt"
113,"brinjalbainganeggplant,tomatoes,onions,ingerarlicpaste,tamarind,mustardseeds,wholeblackpeppercorns,jaggery,turmericpowderhaldi,redchillipowder,sunfloweroil,salt,corianderdhanialeaves"
114,"iceberlettuce,chickenbreasts,sunfloweroil,salt,blackpepperpowder,arlic,buttonmushrooms,sprinonionbulbreens,chillivinegar,soysauce,redchillisauce,sweetspicyredchillisaucetomatochillisauce"
115,"lemonjuice,curddahiyogurt,sugar,freshcream,turmericpowderhaldi,vanillaextract,orangezestrind,orange"
116,"wholewheatbrownbread,paneerhomemadecottagecheese,greenbellpeppercapsicum,greenchilli,chaatmasalapowder,blackpepperpowder,butter,salt"
117,"elephantyamsuransenairatalu,onion,greenchillies,inger,arlic,spricurryleaves,cuminseedsjeera,turmericpowderhaldi,corianderpowderdhania,cuminpowderjeera,redchillipowder,blackpepperpowder,arammasalapowder,salt,sunfloweroil"
118,"coconutoil,spricurryleaves,longarlic,inchinger,onion,tomatoes,turmericpowder,arammasalapowder,redchillipowder,corianderpowder,chickenbreast,salt,water"
119,"bottleourdlauki,onion,clovesarlic,inchinger,greenchillies,cuminseedsjeera,mustardseeds,methiseedsfenugreekseeds,turmericpowderhaldi,redchillipowder,corianderpowderdhania,tamarindwater,tomatoes,sunfloweroil,salt,spricorianderdhanialeaves,roastedpeanutsmoongphali,sesameseedstilseeds,freshcoconut"
120,"arhardaltoordal,water,turmericpowderhaldi,inger,greenchillies,tamarind,lemonjuice,hee,mustardseeds,asafoetidahing,curryleaves,corianderdhanialeaves"
121,"chickenbreasts,corianderpowderdhania,redchillipowder,cuminpowderjeera,blackpepperpowder,turmericpowderhaldi,ingerarlicpaste,extravirginoliveoil,salt,wholewheatflour,activedryyeast,milk,sugar,salt,cucumber,carrotgajjar,tomato,chillivinegar,salt,sugar,homemadehummus,tzatziki,onion"
122,"wholewheatflour,sunfloweroil,salt,ghee,buttonmushrooms,onion,cuminseedsjeera,arammasalapowder,greenchillies,turmericpowderhaldi,ghee"
123,"chanadalbengalramdal,spinachleavespalak,water,turmericpowderhaldi,salt,hee,asafoetidahing,cuminseedsjeera,dryredchillies,ingerarlicpaste,onion,greenchillies,tomato,turmericpowderhaldi,redchillipowder,cuminpowderjeera,salt"
124,"yellowmoondal,cucumber,carrotgajjar,freshcoconut,lemonjuice,salt,sunfloweroil,mustardseeds,greenchillies,asafoetidahing,spricurryleaves,corianderdhanialeaves"
125,"soojisemolinarava,curddahiyogurt,saffronstrands,cardamompowderelaichi,bakinpowder,castersugar,cashewnuts,raisins,hee"
126,"ragiflourfingermilletnagli,onion,greenchillies,carrotgajjar,dillleaves,corianderdhanialeaves,cuminseedsjeera,salt,ghee"
127,"sweetpotatoes,onion,rasampowder,turmericpowderhaldi,asafoetidahing,salt,sunfloweroil,mustardseeds,whiteuraddal,spricurryleaves"
128,"oreobiscuits,vanillaicecream,milk,chocolatesauce,chocolatesauce,heavywhippincream"
129,"sweetcorn,butter,paprikapowder,delmontecheesyarlicmayo,lemon,corianderdhanialeaves,parmesancheese"
130,"paneerhomemadecottagecheese,sunfloweroil,reenpeasmatar,salt,sugar,redchillipowder,milk,kasurimethidriedfenugreekleaves,onion,tomatoes,inchinger,clovearlic,hee,dryredchillies,cardamomelaichipodsseeds,inchcinnamonstickdalchini,wholeblackpeppercorns,corianderdhaniaseeds,cashewnuts"
131,"eggplant,yogurt,greenchilli,cuminpowder,kashmiriredchillipowder,arammasalapowder,onion,salt,coriander"
132,"ramflourbesan,ajwaincaromseeds,redchillipowder,curddahiyogurt,sunfloweroil,salt,greenbellpeppercapsicum,cuminseedsjeera,asafoetidahing,turmericpowderhaldi,redchillipowder,arammasalapowder,amchurdrymangopowder,corianderpowderdhania,corianderpowderdhania,salt,spricorianderdhanialeaves,sunfloweroil"
133,"chicken,sunfloweroil,arlic,inger,greenchillies,onion,greenbellpeppercapsicum,soysauce,vinegar,blackpepperpowder,salt,redchillisauce,reenchillisauce,roastedtomatopastasauce,cornflour,water,blackpepperpowder,soysauce,redchillisauce,cornflour,purposeflourmaida,water,salt"
134,"aarmaachfish,tomato,bayleaftejpatta,ingerarlicpaste,greenchillies,cuminseedsjeera,corianderpowderdhania,redchillipowder,turmericpowderhaldi,mustardoil,salt,water,corianderdhanialeaves"
135,"reenamaranthleaves,tamarind,onion,tomato,clovesarlic,mustardseeds,asafoetidahing,spricurryleaves,sambarpowder,methipowderfenugreekpowder,sesamegingellyoil,salt,salt"
136,"rawpeanutsmoongphali,ramflourbesan,riceflour,redchillipowder,corianderpowderdhania,chaatmasalapowder,water,blackpepperpowder,sunfloweroil,salt,sunfloweroil"
137,"blackuraddal,kidneybeans,tomatoes,inchinger,hee,cuminseeds,kashmiriredchillipowder,corianderpowder,arammasalapowder,salt"
138,"buttonmushrooms,spinachleavespalak,tomato,clovesarlic,inchinger,greenchillies,cuminseedsjeera,inchcinnamonstickdalchini,cuminpowderjeera,turmericpowderhaldi,arammasalapowder,freshcream,hee,salt"
139,"curdvada,papdipuris,sweetchutneydatetamarind,reenchutneycoriandermint,chaatmasalapowder,cuminpowderjeera,onions,carrotgajjar,anardanapowderpomegranateseedpowder,rawpeanutsmoongphali,boondi,spricorianderdhanialeaves"
140,"wheatrasspowder,blackpepperpowder,blacksaltkalanamak,cuminpowderjeera,lemon"
141,"kabulichanna,oil,cuminseeds,inger,chanamasalapowder,redchillipowder,spooncuminpowder,amchoorpowder,turmericpowder,corianderpowder,salt"
142,"kachris,clovesarlic,dryredchillies,cuminseeds,salt,curd,hee"
143,"potatoes,gmscheese,tomatoes,inchinger,greenchillies,redchillipowder,corianderpowder,cuminpowder,salt,oilreencoriander"
144,"lentilwater,water,long,wholeblackpeppers,cumin,mustard,bayleaf,curryleaves,jaggery,tamarindpaste,odamasala,oil,corianderleaves,salt"
145,"wholewheatflour,purposeflourmaida,soojisemolinarava,curddahiyogurt,turmericpowderhaldi,salt,sunfloweroil,potatoesaloo,cuminseedsjeera,onion,clovesarlic,inchinger,greenchillies,curryleaves,spricorianderdhanialeaves,redchillipowder,turmericpowderhaldi,salt,sunfloweroil"
146,"cabbage,reenpeas,onion,greenchillies,tomato,ingerarlicpaste,turmericpowder,arammasalapowder,oil,redchillipowder,salt,corianderleaves"
147,"paneerhomemadecottagecheese,asafoetidahing,inchcinnamonstickdalchini,bayleavestejpatta,cardamomelaichipodsseeds,ajwaincaromseeds,homemadetomatopuree,kashmiriredchillipowder,dryingerpowder,curddahiyogurt,fennelseedssaunf,saffronstrands,arammasalapowder,salt,spricorianderdhanialeaves"
