TranslatedRecipeName,TranslatedIngredients
Mango Donut Cake Recipe With Chocolate Glaze,"vivatta maida,baking powder,baking soda,vanilla extract,dark chocolate,fresh cream,cocoa powder,mango pulp"
Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,"salt pepper,homemade tomato puree,ginger garlic paste,whole cashews,garam masala powder,fresh cream,purpose flour,ajwain,green peas,paneer,amchur,curd,cloves,mace,cardamom,inch cinnamon stick,kasuri methi"
Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),"fresh coconut,cooked rice,white urad dal,sprig curry leaves,ginger,+ coconut oil,chana dal,raw peanuts"
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,"fresh coconut,black urad dal,rice,whole black peppercorns,jaggery,hog plum,methi seeds,karela"
Roasted Cauliflower Recipe,"garlic,black pepper powder,extra virgin olive oil,pomegranate molasses,fresh herbs,cauliflower,anardana powder"
Pain Viennois | Vienna Bread Recipe,"lukewarm water,active dry yeast,milk powder,vivatta maida,egg white,butter"
Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,"rice flour,milk,nolen gur,mixed nuts,raisins,saffron strands,poha,cardamom"
Makhan Recipe (Homemade Butter),fresh cream
Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),"rice flour,bok choy,button mushrooms,corn flour,dark soy sauce,bean paste,red chilli sauce,carrot,cabbage"
White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,"fresh coconut,black pepper powder,coconut oil,sprig curry leaves,curd,vellai poosanikai,methi seeds"
Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,"green peas,cheese,cut inch ginger - green chili,red chili powder,mango powder powder,wheat flour,oil"
Elephant Yam Raita (Recipe In Hindi),"elephant yam,curd,oil,asafetida,rye,kali urad dal"
Drunken Noodles Recipe - Drunken Noodles Recipe,"rice noodles,baby corn,thai basil leaves,green onions,brown sugar,honey,soy sauce,fish sauce,sriracha sauce,capsicum,capsicum,capsicum"
Chettinad Style Prawn Biryani Recipe,"shrimps,basmati rice,shallots,ginger,garlic,fresh coconut,sprig curry leaves,garam masala powder,whole black peppercorns,hung curd,cardamom,black cardamom,inch cinnamon stick,bay leaves"
Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,"walnuts,dried figs,flax seeds,honey,roasted peanuts,cinnamon powder"
Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,"gram chicken,ginger,garlic,fresh cream,lemon juice,black pepper powder,fresh cream,milk,badam,cardamom powder,inch cinnamon stick,bay leaf,kasuri methi"
Paal Kesari Recipe - South Indian Style Milk Kesari,"milk,saffron strands,cashew nuts,raisins,mixed dry fruits,sooji,cardamom"
Spicy Lemon Chicken Kebab Recipe,"chicken breasts,lemon juice,dried thyme leaves,red chilli flakes,black pepper powder,extra virgin olive oil,red bell pepper"
Paneer Butter Masala Biryani Recipe - Layered Paneer Butter Masala Biryani Recipe,"rice,cardamom,long,star anise,inch cinnamon,whole black pepper,bay leaf,sprig green coriander,sprig mint,cottage cheese,cream,green chili,cardamom powder,cumin powder,garam masala powder,kasoori methi,honey,,cashews"
Gond Ke Ladoo Recipe - Edible Gum Ladoo,"whole wheat flour,cashew nuts,goond,dry coconut,badam"
Kobari Charu recipe - Kobbari Charu Recipe,"coconut milk,roasted chana lentils,oil,mustard,small spoon turmeric powder,curry leaves,coriander leaves"
Basil Tincture Recipe (Or) - Herbal Drink From Basil,"black pepper powder,dry ginger powder,palm sugar,tulsi"
Carrot Corn Mayo Pancake Recipe With Sandwich Spread,"sweet corn,whole wheat flour,del monte sandwich spread,whole eggs,baking powder,baking soda,butter,black pepper powder,carrot,curd"
Tamil Nadu Style Spicy Egg Fry Recipe,"whole eggs,whole black peppercorns,roasted gram dal"
Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,"fresh coconut,palm jaggery,milk,milk,palm jaggery,poha,purpose flour,sooji"
Waffle Broth Recipe - Puppet's Yamarinta Crovy,"gingelly oil,sprig curry leaves,urad dal papad,tamarind water,sambar powder,jaggery,methi seeds,pearl onions"
Kashmiri Style Modur Pulao With Pomegranate Recipe,"basmati rice,milk,saffron strands,cashew nuts,raisins,dates,cinnamon stick,cloves,cardamom,cumin powder,anardana powder,badam"
North Indian Style Mushroom Matar Masala Recipe,"button mushrooms,ginger garlic paste,garam masala powder,green peas,sprig coriander"
Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,"lemon,garam masala powder,kabuli chana,cinnamon stick,bay leaf,brown cardamom,black salt,black salt"
Capsicum Masala Poriyal (Recipe in Hindi),"oil,mustard,curry leaves,peanuts,coconut,sprig green coriander,capsicum,capsicum,capsicum"
Kerala Style Raw Banana and Suran Kotu Curry Recipe - Kerala Style Plantain & Yam Thoran Recipe,"raw banana,suran,black gram,red chili powder,coconut,whole black pepper,green chili,oil,mustard"
Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,"fresh red chillies,garam masala powder,butter,homemade tomato puree,whole cashews,fresh cream,lemon juice,lemon juice,paneer,red bell pepper,cumin powder,gram curd"
Nutty Aloo Paratha Recipe,"whole wheat flour,garam masala powder,mixed nuts,raisins,spinach leaves,potatoes,paneer,cumin powder"
Chicken Tikka Taco Recipe Topped With Cheesy Garlic Mayo,"hard taco shells,hariyali chicken tikka,summer salad,refried beans,nutralite cheesy garlic mayo,tomato salsa"
Masalewali Turai Sabzi Recipe - Masalawali Turai Sabzi Recipe,"trumpet,mustard,ginger,small spoon coriander powder,jaggery,oil,coriander leaves"
Pudina Mushroom And Soya Biryani Recipe,"basmati rice,button mushrooms,biryani masala,garam masala powder,star anise,soy chunks,curd,mint leaves,ajwain,bay leaf,cardamom,cloves,inch cinnamon stick"
White Vegetable Kurma Recipe With Coconut & Cashew,"ginger garlic paste,fresh coconut,whole black peppercorns,poppy seeds,cashew nuts,star anise,carrot,potatoes,cauliflower,fennel seeds,inch cinnamon stick,cloves,cardamom"
Muttaikose Poriyal Recipe - Cabbage Stir fry With Coconut,"white urad dal,sprig curry leaves,fresh coconut,cabbage"
Bengaluru Style Brinjal Gravy Recipe - For Biryani,"ginger garlic paste,tamarind,whole black peppercorns,jaggery,brinjal"
PF Chang's Style Crispy Chicken Lettuce Wraps Recipe,"iceberg lettuce,chicken breasts,black pepper powder,garlic,button mushrooms,chilli vinegar,soy sauce,red chilli sauce,spring onion,bulb  greens,sweet spicy red chilli sauce"
Lemon Frozen Yogurt Recipe,"lemon juice,fresh cream,vanilla extract,orange,curd,orange zest"
Paneer Capsicum Sandwich Recipe,"whole wheat brown bread,chaat masala powder,black pepper powder,butter,paneer,green bell pepper"
Dry Suran Masala Vegetable Recipe,"ginger,garlic,sprig curry leaves,black pepper powder,garam masala powder,elephant yam,cumin powder"
One Pot Pressure Cooker Chicken Curry Recipe - One Pot Pressure Cooker Chicken Curry Recipe,"coconut oil,sprig curry leaves,long garlic,garam masala powder,chicken breast"
Lauki Ka Salan Recipe - Bottle Gourd Salan Recipe,"tamarind water,fresh coconut,bottle gourd,methi seeds,sprig coriander,roasted peanuts,sesame seeds"
Togari Bell Thove Recipe - Tour Dal Juice,"ginger,tamarind,lemon juice,curry leaves,arhar dal"
Chicken Shawarma Recipe,"chicken breasts,black pepper powder,ginger garlic paste,extra virgin olive oil,whole wheat flour,active dry yeast,milk,cucumber,chilli vinegar,homemade hummus,tzatziki,cumin powder,carrot"
Mushroom Paratha Recipe,"whole wheat flour,button mushrooms,garam masala powder"
Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,"ginger garlic paste,chana dal,spinach leaves,cumin powder"
Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),"yellow moong dal,cucumber,fresh coconut,lemon juice,sprig curry leaves,carrot"
Maharashtrian Style Semolina and Yogurt Cake Recipe,"saffron strands,baking powder,caster sugar,cashew nuts,raisins,sooji,curd,cardamom powder"
Ragi Masala Roti Recipe,"dill leaves,ragi flour,carrot"
Dry Sweet Potato Thoran Recipe,"sweet potatoes,rasam powder,white urad dal,sprig curry leaves"
Oreo Milkshake Recipe,"oreo biscuits,vanilla ice cream,milk,chocolate sauce,chocolate sauce,heavy whipping cream"
Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo Recipe,"sweet corn,butter,paprika powder,del monte cheesy garlic mayo,lemon,parmesan cheese"
Dhugare Baingan Recipe - Dhungare Baingan Recipe,"eggplant,yogurt,cumin powder,kashmiri red chilli powder,garam masala powder"
Rajasthani Style Dried Gatta Capsicum Vegetable Recipe,"garam masala powder,gram flour,ajwain,curd,green bell pepper,amchur,sprig coriander"
Indo Chinese Crispy Chicken Chilli Recipe,"chicken,garlic,ginger,soy sauce,vinegar,black pepper powder,red chilli sauce,green chilli sauce,roasted tomato pasta sauce,corn flour,black pepper powder,soy sauce,red chilli sauce,corn flour,green bell pepper,purpose flour"
And fish soup recipe - Bengali fish curry,"ginger garlic paste,mustard oil,aar maach,bay leaf"
Stem Lettuce Tamarind Broth Recipe - Surri left behind by Amarnath Greens,"green amaranth leaves,tamarind,sprig curry leaves,sambar powder,methi powder,sesame"
Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,"rice flour,chaat masala powder,black pepper powder,raw peanuts,gram flour"
Maa Ki Dal (Recipe),"black urad dal,kidney beans,kashmiri red chilli powder,garam masala powder"
Dahi Bhalla Papdi Chaat Recipe,"curd vada,papdi puris,chaat masala powder,boondi,sweet chutney,date  tamarind,green chutney,coriander  mint,cumin powder,carrot,anardana powder,raw peanuts,sprig coriander"
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,"wheat grass powder,black pepper powder,lemon,black salt,cumin powder"
Chole Masala Recipe - Dry Masala Chickpeas (Recipe),"kabuli channa,oil,ginger,chana masala powder,spoon cumin powder,amchoor powder"
Rajasthani Kachri Chutney Recipe - Rajasthani Kachri Ki Chutney Recipe,"kachris,curd"
Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe,"potatoes,gms cheese,cumin powder,oil - green coriander"
 Katachi Amti (Recipe In Hindi),"lentil water,long,whole black peppers,cumin,mustard,bay leaf,curry leaves,jaggery,tamarind paste,goda masala,oil,coriander leaves"
Khara Obbattu Recipe (Bread Stuffed With Spicy Potato Mixture Recipe),"whole wheat flour,curry leaves,purpose flour,sooji,curd,potatoes,sprig coriander"
Cauliflower Matar Bhurji (Recipe in Hindi),"cabbage,green peas,ginger garlic paste,garam masala powder,oil,coriander leaves"
Aromatic Vegetable Pulao Recipe,"rice,ginger garlic paste,garam masala powder,star anise,carrots,green peas,green bell pepper,potato,cardamom,cloves,inch cinnamon stick,mint leaves"
Spicy Curd Recipe - Spicy Curd With Onions,"curd,carrot,cucumber,oil,coriander leaves,green chili"
Mustard Vegetable Curry Recipe,"oil,coconut milk,vegetable stock,dijon mustard,carrots,green beans,green peas,potatoes"
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,"basmati rice,coconut milk,ginger,green beans,cauliflower,carrots,cloves,cardamom,inch cinnamon stick,bay leaf"
Bengali Aloo Dum Recipe - Bengali Aloo Dum Recipe,"small potatoes,cardamom,inch cinnamon,long,bay leaf,tomato puree,garam masala powder,yogurt,oil,stock green coriander"
Hyderabad Soy Biryani Recipe With Vegetables & Palak,"basmati rice,ginger garlic paste,garam masala powder,milk,saffron strands,soy chunks,carrots,green beans,green peas,cauliflower,green bell pepper,potatoes,inch cinnamon stick,cardamom,cloves,spinach leaves,mint leaves,badam,inch cinnamon stick,cardamom,black cardamom,cloves,bay leaf,ajwain,mace,mint leaves"
North Indian Feni Recipe - Sevaiyan Kheer,"pheni,milk,cashew nuts,raisins,almond meal"
South Indian Papad Curry Recipe - Appalam Vathal Kuzhambu (Recipe),"papad,tamarind,sambar powder,horse,mustard,gram lentils,dry red chili,curry leaves,sesame oil"
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,"rice,yellow moong dal,carrot,green beans"
Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),"sprig curry leaves,ginger,garlic,potatoes,curd,gram flour"
Vegetable Fried Brown Rice Recipe,"brown rice,garlic,roasted tomato pasta sauce,red chilli sauce,soy sauce,ginger,spring onion greens,vinegar,extra virgin olive oil,carrots,green beans,green bell pepper,cabbage"
Eggless Devil's Food Cake Recipe,"cocoa powder,baking powder,butter,caster sugar,vanilla extract,whole eggs,red food color,chocolate ganache,chilled water,purpose flour,curd,flax seed powder"
Bengali Langcha Recipe With Mawa,"milk,milk powder,baking soda,caster sugar,pistachios,sooji,purpose flour,cardamom powder"
Kovakkai Podi Curry Recipe - Tamil Nadu Style Ivy Gourd Stir Fry,"white urad dal,sprig curry leaves,white urad dal,tindora,chana dal"
Biryani Masala Powder Recipe - Biryani Masala Powder Recipe,"bay leaves,coriander seeds,whole pepper,celery,cardamom,large cardamom,mace,stone flowers,star anis,small spoon nutmeg powder,inch cinnamon,long"
Crispy Chicken Dumplings Recipe,"boneless chicken,ginger garlic paste,black pepper powder,sprig curry leaves,whole egg,corn flour,gram flour"
Andaman Style Steamed Garlic Prawns Recipe,"prawns,soy sauce,whole black peppercorns,lemon juice,sesame"
Fruit Pachadi Recipe,"fruit,yogurt,jaggery,coconut,mustard,mustard,dry red peppers,oil,sprig curry leaves"
Aloo Matar Masala Khichdi Recipe,"rice,ginger garlic paste,black pepper powder,green peas,potatoes,black cardamom,bay leaf,cardamom,inch cinnamon stick,cloves,cumin powder"
Rock Toast Recipe - Semolina Bread Toast,"onion powder,black pepper powder,sooji,curd,green bell pepper"
Potato Vindaloo Recipe (Spicy Goan Potato Curry),"kashmiri dry red chillies,garlic,shallots,vinegar,curry leaves,methi seeds,potatoes"
Lu Potol Post Recipe (Lu Parwal In Poppy Seed Masala Recipe),"fresh coconut,poppy seeds,mustard oil,pointed gourd,potatoes,methi seeds,fennel seeds,cloves,inch cinnamon stick"
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,"whole wheat brown bread,cucumber,black pepper powder,chaat masala powder,butter,tomato ketchup,green chutney,coriander  mint"
Homemade Granola Mix Recipe with Oats & Wheat Flakes,"pine nuts,pumpkin seeds,dates,dried raspberries,raisins,walnuts,nutmeg powder,vanilla extract,honey,instant oats,wheat flakes,badam,cinnamon powder"
Baingan Sarson Ka Saag Recipe,"mustard greens,garam masala powder,mustard oil,small brinjal,amchur"
Kalyana Veetu Senai Curry Recipe - South Indian Spicy Roasted Yam,"fresh coconut,curry leaves,sambar powder,elephant yam"
Chettinad Thakkali Sadam Recipe (Chettinad Style Tomato Rice),"rice,sprig curry leaves,mint leaves,cinnamon stick,cloves,fennel seeds"
Thai Yellow Coconut Curry Rice Recipe,"dry ginger powder,whole black peppercorns,jasmine rice,coconut milk,coconut oil,stalks lemongrass,lemon juice,jaggery,thai basil leaves,cinnamon stick,fennel seeds,cardamom,mace,red bell pepper,gawar phali"
 Stuffed Bhindi With Paneer (Recipe In Hindi),"oil,ginger,garlic,cottage cheese,mango powder,okra"
Bael Ka Sharbat Recipe - Wood Apple Squash Drink,"jaggery,lemon juice,ice cubes,wood apple,black salt,cumin powder,mint leaves"
Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,"saffron strands,mango,cinnamon powder"
Kunafa With Mango Cottage Cheese Cream Recipe,"kataifi dough,butter,rose water,lemon juice,rose water,saffron strands,icing sugar,thandai masala,heavy whipping cream,fresh cream,pistachios,dried rose petals,paneer,mango pulp"
Royal Bread Gulab Jamun Recipe,"whole wheat brown bread,milk,khoya,badam"
Safed Achari Baingan Recipe - White Aubergine in pickled spices,"brinjal,amchur,fennel seeds,kalonji,ajwain,methi seeds"
Potlankaya Perugu Pachhadi Recipe (Curd & Sunke Gourad Chutney),"fresh coconut,snake gourd,curd"
Karela Dahi Puri Recipe - A Chatpata Chaat Made From Bitter Gourd,"chaat masala powder,sev,aloo bhujia,dates,karela,gram flour,black salt,hung curd,sweet chutney,date  tamarind"
Kasuri Methi and Potato Frying Recipe,"ginger,garam masala powder,potatoes,kasuri methi,fennel seeds,methi seeds,cumin powder,amchur"
Sprouted Matki Chila Recipe with Spinach - Moth Bean Chila,"white urad dal,moth sprouts,fennel seeds,spinach leaves"
Malabar Kaai Curry Recipe With Nenthra Pazham,"coconut milk,coconut milk,rice,banana flower,chana dal,cardamom"
Assamese Sweet Kordoi Recipe,"whole wheat flour,lukewarm water,caster sugar"
Steamed Bafauri Recipe (Bhojpuri Style Steamed Chana Dal Balls),"chana dal,ajwain"
Jodhpuri Aloo Recipe,"baby potatoes,kashmiri red chilli powder,red chilli flakes,sesame seeds,fennel seeds,amchur"
Vedakkai Thoran Recipe - Kerala Style Bhindi Stir Fry,"fresh coconut,sprig curry leaves,bhindi,pearl onions"
Gram and Potato Dry Vegetable Recipe,"ginger garlic paste,garam masala powder,kabuli chana,potatoes,amchur,sprig coriander"
Tomato Chicken Roast Recipe Flavoured With Kasuri Methi,"chicken thighs,kashmiri red chilli powder,garam masala powder,kasuri methi"
Nellikai Oorugai / Amla Sambhario Recipe (Instant Gooseberry Piccile Recipe),"mustard oil,amla,methi seeds"
Baingan Sarson Ka Saag Recipe - Brinjal Mustard Saag Recipe,"brinjal,mustard,cumin,red chili powder,garam masala powder,mango powder,mustard oil"
Stuffed Arbi Paratha Recipe,"garam masala powder,whole wheat flour,colocasia root,cumin powder,amchur,sprig coriander"
Tomato Curry Leaf Chutney Recipe - Tomato Curry Leaf Chutney Recipe,"sprig curry leaves,sprig green coriander"
Rajasthani Goonde Vegetable Recipe (Bird Lime Stir Fry),"gunde,methi seeds,fennel seeds,amchur"
Bengali gram dal recipe,"fresh coconut,mustard oil,chana dal,cloves,inch cinnamon stick,bay leaf"
Hyderabadi Vegetable Biryani Recipe - Hyderabadi Vegetable Biryani Recipe,"green beans,carrots,cabbage,potatoes,rice,curd,inch cinnamon,cardamom,bay leaves,small spoon coriander powder,oil"
Chocolate Chip & Raisin Rolls Recipe,"whole wheat flour,milk,active dry yeast,honey,butter,raisins,chocolate chips,butter,purpose flour,orange zest"
Kaju Badam Ladoo Recipe,"cashew nuts,badam,cardamom powder"
Spaghetti Aglio Olio With Parmesan & Greens Recipe,"spaghetti pasta,spinach,lemon zest,extra virgin olive oil,parmesan cheese"
Tomato Curry Leaf Chutney With No Onion No Garlic Recipe,"sprigs curry leaves,sprig coriander"
Baked Oats and Whole Wheat Kachori Stuffed with Peas Recipe,"whole wheat flour,extra virgin olive oil,chaat masala powder,instant oats,ajwain,green peas,sprig coriander,amchur"
Masala Carrot And Peas Sandwich Recipe,"whole wheat brown bread,black pepper powder,chaat masala powder,cheese,carrot,green peas"
